epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
0,0.6852537095546722,0.560625,0.6673825132846832,0.7025,5e-05
1,0.6222943772375583,0.735,0.5402163946628571,0.805,5e-05
2,0.5236998203396798,0.801875,0.475872620344162,0.8075,5e-05
3,0.48611183613538744,0.82125,0.44788713902235033,0.8475,5e-05
4,0.4658580802381039,0.830625,0.4414069354534149,0.8475,5e-05
5,0.4384902060031891,0.848125,0.4278997424244881,0.8475,5e-05
6,0.42498278558254243,0.865,0.42678543567657473,0.8525,5e-05
7,0.41632555447518826,0.86125,0.441165871322155,0.8375,5e-05
8,0.40846641071140766,0.866875,0.4199802330136299,0.8525,5e-05
9,0.3931231179833412,0.875,0.4368553650379181,0.8375,5e-05
10,0.39576626621186733,0.873125,0.4242145705223084,0.855,5e-05
11,0.3853843765705824,0.88,0.4289461660385132,0.855,5e-05
12,0.3693523900210857,0.895,0.42968102514743806,0.86,5e-05
13,0.37183590888977053,0.895,0.43834329783916476,0.845,5e-05
14,0.3691915702074766,0.89375,0.43124259799718856,0.8575,2.5e-05
15,0.3525352642685175,0.91,0.4329807314276695,0.87,2.5e-05
16,0.3476882488280535,0.91,0.43556347280740737,0.86,2.5e-05
17,0.35837423346936703,0.899375,0.43145828038454054,0.845,2.5e-05
18,0.3410337509214878,0.914375,0.44812010884284975,0.84,2.5e-05
19,0.34692978858947754,0.9175,0.43524024069309236,0.8525,2.5e-05
20,0.3406544556468725,0.91875,0.4384049552679062,0.855,1.25e-05
21,0.3375256434082985,0.91875,0.4424296382069588,0.8525,1.25e-05
22,0.33618861213326456,0.918125,0.44400020360946657,0.845,1.25e-05
23,0.3430427887290716,0.916875,0.4373041269183159,0.855,1.25e-05
